IdVenda,DataMovimentacao,NomeLocal,IdMercadoria,NomeMercadoria,Grupo,Receita,Custo,Qtde.
19117589,10/1/2024,LOJA A,9420,Produto 222,Grupo 13,"R$ 4,67","R$ 2,37",2
19117670,10/1/2024,LOJA A,3117,Produto 128,Grupo 4,"R$ 4,17","R$ 3,94",1
19117670,10/1/2024,LOJA A,1955,Produto 183,Grupo 5,"R$ 0,83","R$ 0,39",1
19117738,10/1/2024,LOJA B,3117,Produto 128,Grupo 4,"R$ 8,33","R$ 7,87",2
19117762,10/1/2024,LOJA B,3095,Produto 3,Grupo 3,"R$ 5,67","R$ 3,16",2
19117828,10/1/2024,LOJA A,3117,Produto 128,Grupo 4,"R$ 8,33","R$ 7,87",2
19117828,10/1/2024,LOJA A,9718,Produto 178,Grupo 10,"R$ 1,00","R$ 0,36",1
19117937,10/1/2024,LOJA B,9718,Produto 178,Grupo 10,"R$ 1,00","R$ 0,36",1
19118003,10/1/2024,LOJA A,1655,Produto 208,Grupo 10,"R$ 1,17","R$ 0,67",1
19118003,10/1/2024,LOJA A,9510,Produto 63,Grupo 1,"R$ 1,33","R$ 0,67",1
19118013,10/1/2024,LOJA A,117,Produto 45,Grupo 3,"R$ 1,83","R$ 1,05",1
19118090,10/1/2024,LOJA B,3164,Produto 15,Grupo 4,"R$ 2,17","R$ 2,05",1
19118178,10/1/2024,LOJA A,9718,Produto 178,Grupo 10,"R$ 1,00","R$ 0,36",1
19118196,10/1/2024,LOJA A,1632,Produto 235,Grupo 4,"R$ 4,33","R$ 1,94",1
19118211,10/1/2024,LOJA B,113,Produto 27,Grupo 4,"R$ 2,67","R$ 2,52",1
19118211,10/1/2024,LOJA B,1743,Produto 237,Grupo 6,"R$ 0,83","R$ 0,47",1
19118211,10/1/2024,LOJA B,98,Produto 53,Grupo 4,"R$ 1,66","R$ 1,31",1
19118224,10/1/2024,LOJA A,1384,Produto 239,Grupo 4,"R$ 1,67","R$ 0,89",1
19118253,10/1/2024,LOJA A,72,Produto 13,Grupo 6,"R$ 3,17","R$ 2,15",1
19118334,10/1/2024,LOJA A,3164,Produto 15,Grupo 4,"R$ 4,33","R$ 4,09",2
19118361,10/1/2024,LOJA A,1570,Produto 242,Grupo 1,"R$ 2,00","R$ 1,05",1
19118361,10/1/2024,LOJA A,3036,Produto 243,Grupo 6,"R$ 3,83","R$ 2,30",1
19118382,10/1/2024,LOJA B,1816,Produto 244,Grupo 4,"R$ 4,00","R$ 1,93",1
19118593,10/1/2024,LOJA B,115,Produto 4,Grupo 4,"R$ 3,67","R$ 3,46",1
19118642,10/1/2024,LOJA B,1743,Produto 237,Grupo 6,"R$ 0,83","R$ 0,47",1
19118657,10/1/2024,LOJA A,3431,Produto 247,Grupo 3,"R$ 2,00","R$ 0,96",1
19118820,10/1/2024,LOJA B,451,Produto 34,Grupo 3,"R$ 1,33","R$ 0,71",1
19118820,10/1/2024,LOJA B,128,Produto 9,Grupo 3,"R$ 4,99","R$ 2,60",3
19118820,10/1/2024,LOJA B,1773,Produto 250,Grupo 5,"R$ 2,50","R$ 1,44",1
19118820,10/1/2024,LOJA B,113,Produto 27,Grupo 4,"R$ 8,00","R$ 7,56",3
19118847,10/1/2024,LOJA B,2235,Produto 252,Grupo 6,"R$ 2,33","R$ 1,19",1
19118884,10/1/2024,LOJA B,116,Produto 253,Grupo 18,"R$ 4,33","R$ 2,42",1
19118884,10/1/2024,LOJA B,8564,Produto 254,Grupo 18,"R$ 4,33","R$ 2,21",1
19118965,10/1/2024,LOJA B,3421,Produto 114,Grupo 7,"R$ 2,66","R$ 1,81",4
19119002,10/1/2024,LOJA B,1506,Produto 256,Grupo 6,"R$ 1,66","R$ 0,65",1
19119054,10/1/2024,LOJA B,1655,Produto 208,Grupo 10,"R$ 1,17","R$ 0,66",1
19119082,10/1/2024,LOJA A,113,Produto 27,Grupo 4,"R$ 2,67","R$ 2,52",1
19119222,10/1/2024,LOJA A,116,Produto 253,Grupo 18,"R$ 4,33","R$ 2,53",1
19119290,10/1/2024,LOJA A,3164,Produto 15,Grupo 4,"R$ 8,67","R$ 8,19",4
19119400,10/1/2024,LOJA B,242,Produto 211,Grupo 18,"R$ 4,33","R$ 2,42",1
19119469,10/1/2024,LOJA A,115,Produto 4,Grupo 4,"R$ 11,00","R$ 10,39",3
19119598,10/1/2024,LOJA A,1984,Produto 263,Grupo 18,"R$ 3,17","R$ 1,61",1
19119641,10/1/2024,LOJA A,1472,Produto 264,Grupo 2,"R$ 7,33","R$ 4,53",2
19119641,10/1/2024,LOJA A,1992,Produto 265,Grupo 16,"R$ 6,00","R$ 5,03",2
19119641,10/1/2024,LOJA A,97,Produto 266,Grupo 16,"R$ 6,33","R$ 5,31",2
19119641,10/1/2024,LOJA A,9109,Produto 267,Grupo 16,"R$ 5,33","R$ 3,98",1
19119641,10/1/2024,LOJA A,9025,Produto 268,Grupo 16,"R$ 3,33","R$ 2,18",1
19119641,10/1/2024,LOJA A,9023,Produto 269,Grupo 16,"R$ 4,50","R$ 3,21",1
19119672,10/1/2024,LOJA A,9786,Produto 141,Grupo 4,"R$ 17,33","R$ 15,74",4
